,name
0,201. Japanese Garlic Karaage Don
1,204. Chicken Cutlet Don
2,206. Beef Sukiyaki Don
3,209. Japanese Beef Yakiniku Don
4,210. Teriyaki Salmon Don
5,Chicken Cutlet with Rice
6,Chicken Chop
7,Chicken Wings with Rice
8,Saba Fish with Rice
9,Chicken Chop with Rice
10,Tomato Sauce Spaghetti
11,Grilled Fish
12,Fish & Chips
13,V7. Beef Noodle Soup
14,V12. Summer Rolls
15,V13. Spring Rolls
16,V15. Vietnamese Pork Belly
17,Diavola
18,Cinque Formaggi
19,Linguine Al Granchio
20,House Salad
21,Da Paolo Dolcetto
22,Valrhona Choc Cake
23,Bruschetta
24,Coke
25,Hare Pyaaz Ka Aloo Jeera
26,Punjabi Samosa
27,Butter Chicken
28,Plain Naan
29,Paneer Makhanwala
30,Five Guys Shake
31,Five Guys Shake
32,Chocolate Pint
33,Vanilla Pint
34,Fungi Risotto
35,Caesar
36,Ginger Ale
37,Green Curry (Mild Spicy)
38,Glass Noodle Salad (Mild Spicy)
39,Vegetarian Spring Rolls (6pcs)
40,Green Curry (Mild Spicy)
41,Le Parisien (Ham & Butter Baguette)
42,Latte (Regular)
43,Latte (Large)
44,Le Parisien (Ham And Butter Baguette)
45,Brisket
46,Goi Cuon
47,Coke
48,Original King
49,Roasted Herb Potatoes
50,Pork Souvlaki
51,Small 小
52,Large 大
53,Large 大
54,Small 小
55,Kai Lan
56,Kai Lan
57,Chicken Wing Nasi Lemak Istimewa
58,Kaya Toast with Butter
59,Chicken Hor Fun 鸡丝河粉
60,Lontong
61,Fried Wantons 炸云吞
62,Ayam Penyet
63,FISH’N CRISP CROISSAN'WICH® Meal
64,FISH’N CRISP CROISSAN'WICH® Meal
65,L3. Sambal Fish With Rice 叁峇鱼
66,Peach Pie
67,Mee Goreng
68,Kway Teow Mushroom
69,Kway Teow Ikan Bilis
70,Maggie Goreng
71,FISH’N CRISP CROISSAN'WICH® Meal
72,Small
73,Medium
74,Vegetarian Fried Rice with Egg
75,Grilled Fish Dory
76,"Fried Rice with Ham, Prawn & Egg"
77,Tuna Puff
78,Bacon Carbonara Pasta
79,Grilled Fish Dory
80,"Aglio Olio Crispy with Red Onion, Bell Pepper and Crispy Shallot"
81,Spiral Fries
82,Chicken Piece
83,Whole Spring Plate
84,Fried Bun
85,Dumpling Noodle 水饺面
86,Chicken Claw Noodle 凤爪面
87,Seafood Fried Rice 海鲜炒饭
88,Grilled Fish 四川麻辣烤鱼
89,Tofu in Thai Sweet Chili
90,Chicken Rice Combo Box A 白切鸡套餐A
91,Chicken Rice Combo Box A 白切鸡套餐A
92,Fried Mixed Vegetable Gyoza
93,QQ Tofu Bento Set
94,Fried Mixed Vegetable Gyoza
95,Crispy Bean Curd Skin with Sesame Rice Set
96,QQ Tofu Bento Set
97,Baby Monster - DIY
98,Baby Monster - DIY
99,Special Oyako Don
100,11. Minced Meat Noodle Dry 炸酱面干
101,Prosperity Beef Meal
102,Original Angus Cheeseburger
103,Mild Spicy 小辣
104,Dry Mee Siam With Chicken Wing
105,Curry Chicken with Rice
106,Plain Mee Goreng
107,Sambal Fish
108,Plain Rice
109,"Small, 1 Pax"
110,White Rice Fish Set
111,Pappadam
112,Caesar Salad With Smoked Salmon
113,Beef Bolognese
114,Caesar Salad With Roasted Chicken
115,Sambal Petai Shrimp Fried Rice
116,Chicken Luncheon Meat Fried Rice
117,Chicken Cutlets with BBQ Sauce Set
118,Chicken Cutlets with BBQ Sauce Set
119,Hokkien Noodles 福建面
120,Salted Egg Pork Ribs Rice 咸蛋排骨饭
121,Steamed Rice
122,Rice with Minced Meat & Tofu 肉碎豆腐饭
123,Homemade Honey Lemon Tea  自制蜂蜜酸干水
124,Mee Goreng 马来炒面
125,Gan Chao Mian Xian
126,Singapore Fried Bee Hoon 新加坡炒米粉
127,C726D. Homemade Red Bean Soy Milk
128,C922D. Chicken Chop Cheese Baked Rice
129,C753D. Iced HK Ying Yong
130,C903D. Fish & Chips
131,C901BD. Chicken Chop with Black Pepper Sauce & French Fries
132,C603D. Sliced Fish Porridge 
133,B8554D. Double-boiled Snow Fungus with Papaya
134,C901D. Iced Thai Milk Tea
135,C601D. Thai Basil Chicken With Rice
136,C1002D. Egg
137,C603D. Sweet & Sour Fish With Rice
138,C606D. Thai BBQ Chicken With Rice
139,500. Tom Yum Seafood Red Soup 冬炎海鲜红汤
140,700. Green Curry Vegetables 绿咖喱蔬菜
141,1200. Jasmine Rice 白米饭
142,Char Grill Chicken Chop
143,Char Grill Chicken Chop
144,Black Pepper Chicken Chop
145,Char Grilled Salmon Steak
146,Cheese Sausage with Fried Rice
147,Fresh Shiitake Mushroom Soup
148,(01-76) Carrot Cake White
149,(01-66) Red Bean Soup
150,Cold
151,White Rice 饭
152,Egg 鸡蛋
153,Chilli Lala 辣椒啦啦
154,Curry Fish Head 咖喱鱼头
155,Popiah Prawn
156,Laksa (Clams)
157,Nasi Lemak Set 1
158,Nasi Lemak Set 3
159,Nasi Lemak Set 6
160,Chicken Wing
161,Nasi Lemak Set 2
162,Fried Wanton 炸云吞
163,Wanton Noodle  云吞面 
164,Barley with Gingko Nuts 白果薏米
165,Wanton Soup 云吞汤  
166,Wanton Noodle  云吞面 
167,Ampang Yong Tau Foo 安邦釀豆腐
168,Egg Fried Rice
169,Nasi Briyani Chicken
170,Regular
171,C201 Mango Salad
172,Plain Thosai
173,Egg Thosai
174,Egg Thosai
175,Plain Thosai
176,Egg Onion Cheese Prata
177,Special Milk Paper Prata
178,Chappathi with Keema
179,Putu Pring
180,Chappathi with Dhall
181,Kacang
182,Kacang &Nutella
183,Nasi Goreng Tomyam
184,Long John Mutton
185,Bundle for 1
186,Choc Pudding
187,Sugar Raised
188,Boston Kreme
189,2 Pc
190,Mutton Mutabak
191,Tex Supreme Burger Meal
192,2pc Chicken Meal
193,1pc Honey Butter Biscuit
194,Tex Supreme Burger Meal
195,CheezHO Jing Syuan Tea 
196,Pork & Shrimp Dumplings In Hot & Spicy Scallion Noodle 红油抄手葱拌面
197,Chicken Tikka Meal
198,Mini California
199,Unagi Handroll
200,Jyo Unagi Sushi
201,Spicy Maguro Sushi
202,Handmade Oyster Mee Sua Value Set
203,Ayam Penyet (Smashed Fried Chicken)
204,Ayam Penyet - With Steamed Rice
205,Mega San Salad
206,Mega San Salad
207,2 pcs Chicken Meal
208,"D29. Strawberry, Pineapple, Apple & Grapes"
209,"D29. Strawberry, Pineapple, Apple & Grapes"
210,Mix Fruits Cup
211,Green Apple Juice
212,"D11. Pineapple, Kiwi, Red Dragon Fruit & Red Apple"
213,Cheese Dip
214,Coleslaw
215,Onion Rings
216,Fried Bun
217,Whole Spring Plate
218,NasiGO™
219,Balanced Diet Set
220,NasiGO™
221,GadoMie™
222,Balanced Diet Set
223,GadoMie™
224,NasiGO™
225,Homemade Ice Lemon Tea
226,CR01. Chicken Rice
227,CR01. Chicken Rice
228,SM06. Sweet & Sour Fish With Fried Rice
229,CR01. Chicken Rice
230,CR01. Chicken Rice
231,CR01. Chicken Rice
232,CR01. Chicken Rice
233,Chicken Macaroni
234,Roasted Chicken Rice
235,Chicken Macaroni
236,Shredded Chicken Porridge
237,Shredded Chicken Porridge
238,Chicken Char Siew Noodle
239,TN35. Mee Hong Kong
240,TS08. Tom Yam Sup Campur
241,NI129. Mutton Dum Briyani
242,MW06. Fish & Chips
243,Enchanted Blackforest Ice Cream Cake
244,C5. Chicken Drumstick Rice
245,C10. Fragrant Rice
246,C1. Roasted Chicken Rice
247,V7. Liver
248,V4. Gizzard
249,V5. Tofu
250,V1. Oyster Sauce Vegetable
251,Beef Shabu-shabu Omelette Curry
252,Triple Kaya Dip
253,Teriyaki Beef With Egg Toast
254,Triple Kaya Dip
255,Lemongrass
256,Signature Prawn Vadai
257,Ikan Bilis Vadai
258,Quail Egg Mini Vadai
259,Crab Mini Vadai
260,Samosa
261,Ikan Bilis Vadai
262,Chicken Mini Vadai
263,Signature Prawn Vadai
264,Chilli Crab Wedges
265,105. Tofu Bean Curd with Mini Matcha & Sesame Ball
266,508. Passion Fruit Green Tea
267,101. Blackball Signature Dessert
268,Chicken & Shrimp Lemak Chilli Padang
269,10oz Clam Chowder
270,Pandan Churros with Gula Melaka dip
271,Mie Goreng Ayam Special
272,Pandan Leaf Chicken (4Pcs)
273,Pad See Eiw
274,Deep-Fried Chicken Wings (6Pcs)
275,R1 Thai Crispy Chicken with Rice
276,C1 Original Wings and Drumettes
277,Y5 Saap Saap Crispy Chicken Wings with Rice
278,Kway Teow Soup (Small)
279,Roasted Chicken Rice
280,Kampong Fried Rice
281,Salted Bun 咸煎饼
282,Choc Chip Muffin 巧克力松糕
283,Strawberry Muffin 草莓松糕
284,(Hot) Azuki Gula Malacca Curd With Tapioca Cubes 红豆椰糖粉圆豆花
285,Prosperity Beef Meal
286,Curry Chicken with Rice Set
287,Create Your Own Specials
288,Create Your Own Specials
289,Create Your Own Specials
290,Create Your Own Specials
291,1202. Mango Sticky Rice
292,305. Clear Tom Yam Seafood Soup
293,32. Century Egg Pork Porridge 皮蛋瘦肉粥
294,28. Chee Cheong Fun Prawn 猪肠粉-虾
295,26. Fried Carrot Cake 萝卜糕
296,31. Steamed Pork Ribs 排骨
297,19. Fried Prawn Dumpling 明虾饺
298,10. Prawn Dumpling 虾饺
299,Ayam Bakar Set
300,Ayam Bakar Set
301,Egg Fried Rice With Grilled Chicken
